hebb_name,name,K,width,p,k,delta,hebb_eps0,hebb_lr_type,hebb_epochs,ratio,clas_eps0,clas_epochs,clas_lr_type,maxpool_kernel,power,activate,test_acc,seed,attack,certainty,samples,cutoff,pad,crit_eps,std_err_eps,MSE,R2,M,D,Q,B,nu
K10_w12_24,MX07_elu16,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,16.0,elu,0.5488,3125489459,fgsm,0.8,948,0.0,0.1,0.034465748173838,3.298504054429338e-05,0.0001077906946376,0.9990270992654526,-0.2500999667122848,0.4105042126458102,1.5187237419566548,29.98953462024512,6.77003610467395e-05
K10_w12_24,MX07_elu20,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,20.0,elu,0.5542,25936223,fgsm,0.8,1015,0.0,0.1,0.0325821093813286,3.671605232644926e-05,0.0001398988042424,0.9987383183773588,-0.2651235601025495,0.4160174039649877,1.9109213878970883,29.865556034344333,6.708698254185437e-05
K10_w12_24,MX07_elu25,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,25.0,elu,0.5565,1484544837,fgsm,0.8,1072,0.0,0.1,0.0311093167527578,4.362423960886691e-05,0.000198701375942,0.9982092508029942,-0.2485156196563318,0.4287030797820803,1.047524023177555,30.085536462239958,6.682141717213664e-05
K10_w12_24,MX07_elu30,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,30.0,elu,0.5533,32858351,fgsm,0.8,1120,0.0,0.1,0.0299005382122199,4.865644100016787e-05,0.0002564751607316,0.9976852528586556,-0.2590123600896548,0.4293693935098371,1.3315203856351423,30.086153698401745,6.762642930458444e-05
K10_w12_24,MX07_relu08,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,8.0,relu,0.5202,716217723,fgsm,0.8,572,0.0,0.1,0.0408825472814318,3.361869655242302e-05,7.248999451568235e-05,0.9993459215500206,-0.2298459169187652,0.4191669778562962,1.3108845924914028,30.00893726360799,7.094635611224292e-05
K10_w12_24,MX07_relu10,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,10.0,relu,0.5311,4102526897,fgsm,0.8,692,0.0,0.1,0.0386599449438727,3.377260103423331e-05,9.195743847667762e-05,0.9991706344506296,-0.2331293582734671,0.4015188673509561,1.383247265799186,29.998389996742944,7.067319387788017e-05
K10_w12_24,MX07_relu12,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,12.0,relu,0.539,77239804,fgsm,0.8,780,0.0,0.1,0.0372363482144971,3.137534540336598e-05,9.194349457850288e-05,0.9991691709160856,-0.2351788888425912,0.3950164255017311,1.3705510884604395,29.997492950414017,6.998096356275888e-05
K10_w12_24,MX07_relu16,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,16.0,relu,0.5487,360165040,fgsm,0.8,939,0.0,0.1,0.0345356490601885,3.7713423644948064e-05,0.000102338020389,0.999076082161224,-0.2504661787262409,0.4065251746435271,1.380292615049353,29.998340685505795,5.889632685140425e-05
K10_w12_24,MX07_relu20,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,20.0,relu,0.5536,387503768,fgsm,0.8,1008,0.0,0.1,0.0326797191653529,3.738027713225975e-05,0.0001420713001649,0.9987179076836418,-0.2479354779837572,0.4197656168158336,1.2595235014974455,30.22136110757461,6.671927687347952e-05
K10_w12_24,MX07_relu25,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,25.0,relu,0.556,43664887,fgsm,0.8,1076,0.0,0.1,0.0310958169093909,4.780096435717965e-05,0.000213346459556,0.998075778740645,-0.2599335601341124,0.4193460192375649,1.2218194134795577,29.508185806205933,6.39153600877307e-05
