name,K,width,eps0,lr_type,maxpool_kernel,power,activate,test_acc,seed,attack,certainty,samples,cutoff,pad,crit_eps,std_err_eps,MSE,R2,M,D,Q,B,nu
BP_K10_w04_MX09_rexp,10,4,0.001,cosine,9,0.0,rexp,0.6889,28141040,fgsm,0.8,3379,0.0,0.1,0.0086821634859587,9.226763221457508e-06,0.0001439202884926,0.9987035977509564,-0.276239876942242,0.1144921956853805,1.2629757042870693,30.00220218441113,3.2656757699265174e-05
BP_K10_w04_MX11_elu01,10,4,0.001,cosine,11,1.0,elu,0.6871,377432487,fgsm,0.8,3227,0.0,0.1,0.0086473897688895,1.0266065141603716e-05,0.0001842587894834,0.998340384570398,-0.2722560537620792,0.114095627237293,1.263736705073224,29.994496110141423,3.696959872980582e-05
BP_K10_w04_MX11_elu02,10,4,0.001,cosine,11,2.0,elu,0.6659,1061821690,fgsm,0.8,3001,0.0,0.1,0.0104681539441475,8.24917614610551e-06,6.413261045687554e-05,0.9994225659885558,-0.2836657623508369,0.1435166503869003,1.3596211763198736,29.874229573127163,3.211695115011822e-05
BP_K10_w04_MX11_elu04,10,4,0.001,cosine,11,4.0,elu,0.6251,750492041,fgsm,0.8,2806,0.0,0.1,0.0082773563393409,4.148576467714072e-06,6.163080839788728e-05,0.999444869139542,-0.2657668122064552,0.1305239905341548,1.3633845217139222,29.999234998300658,7.012206100866835e-05
BP_K10_w04_MX11_elu06,10,4,0.001,cosine,11,6.0,elu,0.593,1719064418,fgsm,0.8,2568,0.0,0.1,0.0066255630151148,6.473617459540633e-06,0.0001721091432424,0.9984493812687456,-0.2717255057089687,0.1198303344628319,1.2805904485714412,30.00502802193196,7.01535486920047e-05
BP_K10_w04_MX11_elu08,10,4,0.001,cosine,11,8.0,elu,0.5631,46300905,fgsm,0.8,2454,0.0,0.1,0.005687007666658,8.150105951963035e-06,0.0003062738548409,0.997241426878516,-0.2712823470289877,0.1151033679364958,1.0736244569717277,30.04119812223346,7.029029043605462e-05
BP_K10_w04_MX11_elu10,10,4,0.001,cosine,11,10.0,elu,0.5359,47676934,fgsm,0.8,2305,0.0,0.1,0.0049288617487078,1.0510650187152693e-05,0.0005324596970418,0.995203525510678,-0.2906470029241678,0.1109828120951279,1.6295284277631856,30.010545878767687,7.000219162838942e-05
BP_K10_w04_MX11_elu12,10,4,0.001,cosine,11,12.0,elu,0.5157,419399381,fgsm,0.8,2097,0.0,0.1,0.0047499303707995,1.260937217913854e-05,0.0006842916592531,0.9938340188483914,-0.281162862799231,0.1132924818573062,1.1463540946842468,30.02445669696874,7.021216945141824e-05
BP_K10_w04_MX11_elu16,10,4,0.001,cosine,11,16.0,elu,0.4832,3180770209,fgsm,0.8,1453,0.0,0.1,0.0060219518864698,3.054273272819932e-05,0.0013779574778955,0.9875841353327776,-0.2878242670734842,0.1589836276739382,1.4018414637322862,30.403309848278663,7.016685491435764e-05
BP_K10_w04_MX11_exp,10,4,0.001,cosine,11,0.0,exp,0.62,492557482,fgsm,0.8,1787,0.0,0.1,0.0180844368130491,1.5067947457737798e-05,0.0001280779676049,0.9988456820520994,-0.2240731111126045,0.2321123666937307,0.5712589868137284,30.01091175808972,6.620372613172607e-05
